,Capitulo,Frases,palabras,sustantivos,nombrespropios,NEU,POS,NEG,Felicidad,Enojo,Disgusto,Tristeza,Sorpresa,Miedo,Otros
16,Decimosexto Recuerdo: Hemofilia,246,"'enorme': 39, 'piromante': 31, 'sangre': 31","'sangre': 31, 'vez': 24, 'color': 19","'turpificatus': 3, 'mundi': 2, 'la luna': 2",0.4463386494757199,0.23642556178402457,0.3172357814098761,0.052647623700696436,0.026775455354557682,0.009610662342340693,0.09511238360082791,0.03864266441690611,0.03425924110614857,0.7429519692110277
17,Decimoséptimo Recuerdo: Humanos,239,"'pasar': 18, 'encontrar': 17, 'lugar': 16","'lugar': 16, 'hombre': 14, 'voz': 13","'la luna': 4, 'd’arc': 1, 'mhn-001': 1",0.4533763419306802,0.25361214312880637,0.2930115175990692,0.06546023292440208,0.01329818141675787,0.00416861198581687,0.08950683929132801,0.03508761448010697,0.023970377672827513,0.7685081440405959
18,Decimoctavo Recuerdo: Terra Nova,307,"'mujer': 36, 'hombre': 30, 'azul': 23","'hombre': 28, 'mujer': 25, 'lugar': 19","'kyle': 19, 'marcia': 4, 'gaia ii': 4",0.47310310359498187,0.304548909548664,0.22234798698679997,0.07129388514216776,0.02482874291204409,0.00783546050334181,0.06712112746467656,0.025637094678371653,0.012254900825773032,0.791028786147262
19,Decimonoveno Recuerdo: El Reino del Fuego,403,"'azul': 60, 'piromante': 46, 'albert': 37","'fuego': 32, 'tiempo': 30, 'vez': 23","'albert': 31, 'gaia ii': 8, 'kyle': 4",0.4221929771497513,0.24529565137027584,0.3325113712945172,0.0693608773911254,0.040820843672074225,0.011867629686802644,0.13426334721724636,0.039702112495072446,0.02197125504922414,0.6820139325415674
20,Vigésimo Recuerdo: El Valor del Sacrificio,434,"'reino': 31, 'xeneilky': 29, 'ángel': 28","'vez': 28, 'tiempo': 27, 'momento': 26","'arctoicheio': 9, 'techtra': 7, 'pridhreghdi': 7",0.42593429716355447,0.2838937572712156,0.29017194119938716,0.07308125760151966,0.042963397215924674,0.012062564139827885,0.1009254740743709,0.03452210970615114,0.023287166129793136,0.7131580330518907
21,Vigésimo Primer Recuerdo: La Ciudad de la Magia,313,"'alex': 39, 'gato': 35, 'rey': 29","'castillo': 23, 'gato': 22, 'lugar': 20","'alex': 30, 'techtra': 13, 'aldo': 6",0.45003710531543334,0.29752980022372816,0.25243309678988884,0.06538026773027879,0.031472120389878636,0.007300137568572231,0.07151603917195164,0.0167603932487791,0.008912420232714073,0.7986586251014921
22,Vigésimo Segundo Recuerdo: Los Siete Reinos,277,"'rey': 51, 'luna': 28, 'evento': 20","'rey': 34, 'luna': 28, 'mujer': 16","'nicolás': 18, 'albrench': 17, 'toledo': 11",0.48277724893353474,0.1978104783924774,0.31941227216629936,0.026363920810052854,0.0449760738414139,0.010466352623335963,0.05145680414193767,0.019419942577037497,0.012059810315321842,0.8352570954822878
23,Vigésimo Tercer Recuerdo: Distimia,367,"'fantasma': 43, 'nicolás': 33, 'rey': 29","'vez': 28, 'lugar': 24, 'fantasma': 22","'3akat': 27, 'nicolás': 26, 'aldo': 20",0.4086497437782403,0.21888120286420434,0.372469053247167,0.045869922942490815,0.0515692294496765,0.01612480145491541,0.13221538619472004,0.028753348339361086,0.0169408281507971,0.7085264800754008
24,Vigésimo Cuarto Recuerdo: Mortinato,465,"'fantasma': 81, 'nicolás': 69, 'garza': 45","'fantasma': 47, 'lugar': 38, 'tiempo': 30","'nicolás': 54, '3akat': 34, 'aldo': 23",0.4148900945560746,0.22253533185219332,0.36257457772359974,0.06137395321913514,0.06883980794440485,0.019632384721540237,0.10222256171137785,0.02980082239182691,0.03066632213738812,0.6874641464872947
25,Último Recuerdo: Fe,324,"'iris': 77, 'hoja': 35, 'enorme': 33","'hojas': 33, 'tiempo': 31, 'fuego': 27","'nono': 17, 'joseph': 6, 'ken': 5",0.415278781791804,0.25187045814437836,0.3328507613681004,0.06493250653318368,0.04698426527757863,0.011149080052869798,0.1640945210584718,0.030538408127697803,0.028493218135006403,0.6538080033989203
26,Epílogo,41,"'kantry': 6, 'annastasio': 4, 'volver': 4","'vez': 5, 'tiempo': 3, 'fuego': 2","'anne': 1, 'marcia': 1, 'herald': 1",0.3649631556032634,0.1626559490360683,0.4723809005965183,0.09756474513929655,0.04948681108965879,0.011092093409388326,0.3189857026857392,0.01775330973600276,0.01164926329014323,0.4934680925926375
27,Extra: El Sueño Siniestro,262,"'amiga': 29, 'monstruo': 24, 'kantry': 23","'amiga': 29, 'vez': 23, 'monstruo': 22","'ken': 15, 'annastasia': 8, 'joseph': 7",0.4326447854316189,0.2616642078514502,0.3056910039149651,0.07826915683641582,0.05242998232073701,0.011146004630882783,0.11362196558411944,0.031026211998337445,0.025060593793173106,0.6884460825986719
